0.01, -2.18492e-16, 1.306
0.01, -2.18492e-16, 1.306
0.01, -2.18492e-16, 1.306
0.01, -2.18492e-16, 1.306
0.01, -2.18492e-16, 1.306
0.01, -2.18492e-16, 1.306
0.01, -2.18492e-16, 1.306
0.01, -2.18492e-16, 1.306
0.01, -2.18492e-16, 1.306
0.01, -2.18492e-16, 1.306
0.01, -2.18492e-16, 1.306
0.01, -2.18492e-16, 1.306
0.01, -2.18492e-16, 1.306
0.01, -2.18492e-16, 1.306
0.01, -2.18492e-16, 1.306
0.01, -2.18492e-16, 1.306
0.01, -2.18492e-16, 1.306
0.01, -2.18492e-16, 1.306
0.01, -2.18492e-16, 1.306
0.01, -2.18492e-16, 1.306
0.01, -2.18492e-16, 1.306
0.01, -2.18492e-16, 1.306
0.01, -2.18492e-16, 1.306
0.01, -2.18492e-16, 1.306
0.01, -2.18492e-16, 1.306
0.01, -2.18492e-16, 1.306
0.01, -2.18492e-16, 1.306
0.01, -2.18492e-16, 1.306
0.01, -2.18492e-16, 1.306
0.01, -2.18492e-16, 1.306
0.01, -2.18492e-16, 1.306
0.01, -2.18492e-16, 1.306
0.01, -2.18492e-16, 1.306
0.01, -2.18492e-16, 1.306
0.01, -2.18492e-16, 1.306
0.01, -2.18492e-16, 1.306
0.01, -2.18492e-16, 1.306
0.01, -2.18492e-16, 1.306
0.01, -2.18492e-16, 1.306
0.01, -2.18492e-16, 1.306
0.01, -2.18492e-16, 1.306
0.01, -2.18492e-16, 1.306
0.01, -2.18492e-16, 1.306
0.01, -2.18492e-16, 1.306
0.01, -2.18492e-16, 1.306
0.01, -2.18492e-16, 1.306
0.01, -2.18492e-16, 1.306
0.01, -2.18492e-16, 1.306
0.01, -2.18492e-16, 1.306
0.01, -2.18492e-16, 1.306
0.01, -2.18492e-16, 1.306
0.01, -2.18492e-16, 1.306
0.01, -2.18492e-16, 1.306
0.01, -2.18492e-16, 1.306
0.01, -2.18492e-16, 1.306
0.01, -2.18492e-16, 1.306
0.01, -2.18492e-16, 1.306
0.01, -2.18492e-16, 1.306
0.01, -2.18492e-16, 1.306
0.01, -2.18492e-16, 1.306
0.01, -2.18492e-16, 1.306
0.01, -2.18492e-16, 1.306
0.01, -2.18492e-16, 1.306
0.01, -2.18492e-16, 1.306
0.01, -2.18492e-16, 1.306
0.01, -2.18492e-16, 1.306
0.01, -2.18492e-16, 1.306
0.01, -2.18492e-16, 1.306
0.01, -2.18492e-16, 1.306
0.01, -2.18492e-16, 1.306
0.01, -2.18492e-16, 1.306
0.01, -2.18492e-16, 1.306
0.01, -2.18492e-16, 1.306
0.01, -2.18492e-16, 1.306
0.01, -2.18492e-16, 1.306
0.01, -2.18492e-16, 1.306
0.01, -2.18492e-16, 1.306
0.01, -2.18492e-16, 1.306
0.01, -2.18492e-16, 1.306
0.01, -2.18492e-16, 1.306
0.01, -2.18492e-16, 1.306
0.01, -2.18492e-16, 1.306
0.01, -2.18492e-16, 1.306
0.01, -2.18492e-16, 1.306
0.01, -2.18492e-16, 1.306
0.01, -2.18492e-16, 1.306
0.01, -2.18492e-16, 1.306
0.01, -2.18492e-16, 1.306
0.01, -2.18492e-16, 1.306
0.01, -2.18492e-16, 1.306
0.01, -2.18492e-16, 1.306
0.01, -2.18492e-16, 1.306
0.01, -2.18492e-16, 1.306
0.01, -2.18492e-16, 1.306
0.01, -2.18492e-16, 1.306
0.01, -2.18492e-16, 1.306
0.01, -2.18492e-16, 1.306
0.01, -2.18492e-16, 1.306
0.01, -2.18492e-16, 1.306
0.01, -2.18492e-16, 1.306
0.01, -2.18492e-16, 1.306
0.01, -2.18492e-16, 1.306
0.01, -2.18492e-16, 1.306
0.01, -2.18492e-16, 1.306
0.01, -2.18492e-16, 1.306
0.01, -2.18492e-16, 1.306
0.01, -2.18492e-16, 1.306
0.01, -2.18492e-16, 1.306
0.01, -2.18492e-16, 1.306
0.01, -2.18492e-16, 1.306
0.01, -2.18492e-16, 1.306
0.01, -2.18492e-16, 1.306
0.01, -2.18492e-16, 1.306
0.01, -2.18492e-16, 1.306
0.01, -2.18492e-16, 1.306
0.01, -2.18492e-16, 1.306
0.01, -2.18492e-16, 1.306
0.01, -2.18492e-16, 1.306
0.01, -2.18492e-16, 1.306
0.01, -2.18492e-16, 1.306
0.01, -2.18492e-16, 1.306
0.01, -2.18492e-16, 1.306
0.01, -2.18492e-16, 1.306
0.01, -2.18492e-16, 1.306
0.01, -2.18492e-16, 1.306
0.01, -2.18492e-16, 1.306
0.01, -2.18492e-16, 1.306
0.01, -2.18492e-16, 1.306
0.01, -2.18492e-16, 1.306
0.01, -2.18492e-16, 1.306
0.01, -2.18492e-16, 1.306
0.01, -2.18492e-16, 1.306
0.01, -2.18492e-16, 1.306
0.01, -2.18492e-16, 1.306
0.01, -2.18492e-16, 1.306
0.01, -2.18492e-16, 1.306
0.01, -2.18492e-16, 1.306
0.01, -2.18492e-16, 1.306
0.01, -2.18492e-16, 1.306
0.01, -2.18492e-16, 1.306
0.01, -2.18492e-16, 1.306
0.01, -2.18492e-16, 1.306
0.01, -2.18492e-16, 1.306
0.01, -2.18492e-16, 1.306
0.01, -2.18492e-16, 1.306
0.01, -2.18492e-16, 1.306
0.01, -2.18492e-16, 1.306
0.01, -2.18492e-16, 1.306
0.01, -2.18492e-16, 1.306
0.01, -2.18492e-16, 1.306
0.01, -2.18492e-16, 1.306
0.01, -2.18492e-16, 1.306
0.01, -2.18492e-16, 1.306
0.01, -2.18492e-16, 1.306
0.01, -2.18492e-16, 1.306
